2026-01-17 11:48:12.998 [main] INFO  c.w.p.WorkflowPlatformApplication - Starting WorkflowPlatformApplication using Java 17.0.16 on mine with PID 8264 (D:\JetBrains\IdeaProjects\DataLinkPlatform\backend\target\classes started by 86156 in D:\JetBrains\IdeaProjects\DataLinkPlatform\backend)
2026-01-17 11:48:12.999 [main] INFO  c.w.p.WorkflowPlatformApplication - The following 1 profile is active: "online"
2026-01-17 11:49:52.853 [main] INFO  c.w.p.WorkflowPlatformApplication - Starting WorkflowPlatformApplication using Java 17.0.16 on mine with PID 16448 (D:\JetBrains\IdeaProjects\DataLinkPlatform\backend\target\classes started by 86156 in D:\JetBrains\IdeaProjects\DataLinkPlatform\backend)
2026-01-17 11:49:52.854 [main] INFO  c.w.p.WorkflowPlatformApplication - The following 1 profile is active: "online"
2026-01-17 11:50:57.565 [main] INFO  c.w.p.WorkflowPlatformApplication - Starting WorkflowPlatformApplication using Java 17.0.16 on mine with PID 25312 (D:\JetBrains\IdeaProjects\DataLinkPlatform\backend\target\classes started by 86156 in D:\JetBrains\IdeaProjects\DataLinkPlatform\backend)
2026-01-17 11:50:57.566 [main] INFO  c.w.p.WorkflowPlatformApplication - The following 1 profile is active: "online"
2026-01-17 11:55:20.828 [main] INFO  c.w.p.WorkflowPlatformApplication - Starting WorkflowPlatformApplication using Java 17.0.16 on mine with PID 19704 (D:\JetBrains\IdeaProjects\DataLinkPlatform\backend\target\classes started by 86156 in D:\JetBrains\IdeaProjects\DataLinkPlatform\backend)
2026-01-17 11:55:20.829 [main] INFO  c.w.p.WorkflowPlatformApplication - The following 1 profile is active: "online"
2026-01-17 11:57:14.010 [main] INFO  c.w.p.WorkflowPlatformApplication - Starting WorkflowPlatformApplication using Java 17.0.16 on mine with PID 21364 (D:\JetBrains\IdeaProjects\DataLinkPlatform\backend\target\classes started by 86156 in D:\JetBrains\IdeaProjects\DataLinkPlatform\backend)
2026-01-17 11:57:14.011 [main] INFO  c.w.p.WorkflowPlatformApplication - The following 1 profile is active: "online"
2026-01-17 11:57:17.093 [main] INFO  c.w.platform.component.ModeManager - 初始化模式管理器，当前模式: ONLINE
2026-01-17 11:57:17.105 [main] INFO  c.w.p.c.ModeConsistencyChecker - 初始化模式一致性检查器
2026-01-17 11:57:17.107 [main] INFO  c.w.p.c.ModeConsistencyChecker - 模式一致性检查器初始化完成，检查间隔: 30000ms
2026-01-17 12:00:27.684 [main] INFO  c.w.p.WorkflowPlatformApplication - Starting WorkflowPlatformApplication using Java 17.0.16 on mine with PID 25676 (D:\JetBrains\IdeaProjects\DataLinkPlatform\backend\target\classes started by 86156 in D:\JetBrains\IdeaProjects\DataLinkPlatform\backend)
2026-01-17 12:00:27.684 [main] INFO  c.w.p.WorkflowPlatformApplication - The following 1 profile is active: "online"
2026-01-17 12:00:30.703 [main] INFO  c.w.platform.component.ModeManager - 初始化模式管理器，当前模式: ONLINE
2026-01-17 12:00:30.717 [main] INFO  c.w.p.c.ModeConsistencyChecker - 初始化模式一致性检查器
2026-01-17 12:00:30.719 [main] INFO  c.w.p.c.ModeConsistencyChecker - 模式一致性检查器初始化完成，检查间隔: 30000ms
2026-01-17 12:02:39.752 [main] INFO  c.w.p.WorkflowPlatformApplication - Starting WorkflowPlatformApplication using Java 17.0.16 on mine with PID 6832 (D:\JetBrains\IdeaProjects\DataLinkPlatform\backend\target\classes started by 86156 in D:\JetBrains\IdeaProjects\DataLinkPlatform\backend)
2026-01-17 12:02:39.753 [main] INFO  c.w.p.WorkflowPlatformApplication - The following 1 profile is active: "online"
2026-01-17 12:02:44.151 [main] INFO  c.w.platform.component.ModeManager - 初始化模式管理器，当前模式: ONLINE
2026-01-17 12:02:44.159 [main] INFO  c.w.p.c.ModeConsistencyChecker - 初始化模式一致性检查器
